Accident_index,Year,Month,Day,Hour,Minute,District,Death_num,Injury_num,Climate,Light,Road_category,Speed_limit,Road_type,Accident_location,Pavement,Road_condition,Road_defect,Barrier,Sight_distance,Signal_type,Signal_action,Accident_type,Causing_factor,injury_degree,Main_injury,Protective_equipement,Action_status,Driving_qualifications,Driving_type,Drinking_situation,Impact_site,Run_away,Job,GPS_X,GPS_Y,License_num,ID_card,Car_type,Timestamp
1,2023,9,1,0,0,Tanzi,0,1,6,1,6,50,13,9,1,4,4,6,6,4,4,30,59,2,9,1,9,1,10,2,11,1,13,120.710241,24.202642,UZY-5703,S152057650,C03,1693526400
2,2023,9,1,0,12,West,0,0,5,,6,50,,,,,,,,,,13,84,,,,,3,,1,,1,13,120.673526,24.136619,LDB-788,A133374904,B12,1693527120
3,2023,9,1,0,15,Longjing,0,0,6,,6,40,,,,,,,,,,8,49,,,,,1,,2,,1,12,120.590968,24.182302,OYT-9864,P286003263,B03,1693527300
4,2023,9,1,0,36,Dali,0,1,7,2,6,50,3,1,1,5,4,6,6,4,4,16,40,3,10,3,7,1,8,2,5,1,6,120.691723,24.100535,VAK-6732,W249090565,B12,1693528560
5,2023,9,1,0,38,Wuri,0,1,7,1,6,50,4,2,1,5,4,6,6,3,1,17,6,3,10,3,9,1,4,2,7,1,12,120.637437,24.096761,QMY-6678,E121493989,B03,1693528680
6,2023,9,1,1,11,Kamioka,0,0,7,,6,50,,,,,,,,,,,7,,,,,1,,2,,1,12,120.695786,24.248323,MOJ-7218,C215720155,C03,1693530660
7,2023,9,1,2,18,West,0,0,7,,6,50,,,,,,,,,,13,84,,,,,1,,1,,1,13,120.659687,24.157317,UHY-1476,R275107214,C03,1693534680
8,2023,9,1,2,45,North,0,1,7,1,6,50,4,1,1,5,4,6,6,2,1,17,58,2,8,1,9,1,10,2,11,1,13,120.671456,24.17374,XOU-5802,X111848726,B12,1693536300
9,2023,9,1,2,50,West,0,1,7,1,6,30,4,1,1,5,4,6,6,1,1,15,21,2,9,2,9,1,10,2,14,1,13,120.653882,24.149942,YTB-9213,C217108347,B03,1693536600
10,2023,9,1,2,50,Beitun,0,1,5,1,6,50,4,2,1,4,4,6,6,1,1,1,10,3,10,3,6,1,8,2,1,1,13,120.685577,24.174551,YJY-3316,X280298340,B03,1693536600
